Order ID,Order Date,Region,Category,Sales,Profit
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2022-12-21,East,Office Supplies,755.33,-14.27
23b8c1e9-3924-46de-beb1-3b9046685257,2023-02-16,West,Furniture,1901.92,-67.21
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2022-06-11,Central,Office Supplies,1466.67,-271.0
972a8469-1641-4f82-8b9d-2434e465e150,2022-06-19,Central,Technology,1201.33,289.45
17fc695a-07a0-4a6e-8822-e8f36c031199,2022-01-31,Central,Furniture,320.48,119.61
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2021-09-04,East,Technology,320.43,625.41
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,2022-11-09,South,Furniture,125.59,-458.26
6b65a6a4-8b81-48f6-b38a-088ca65ed389,2021-04-30,South,Office Supplies,1733.69,337.03
47378190-96da-4dac-b2ff-5d2a386ecbe0,2023-07-01,Central,Technology,1206.22,491.83
c241330b-01a9-471f-9e8a-774bcf36d58b,2021-02-12,East,Technology,1419.06,487.33
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2022-01-10,East,Office Supplies,50.96,651.9
371ecd7b-27cd-4130-8722-9389571aa876,2023-03-30,Central,Furniture,1940.12,447.74
1a2a73ed-562b-4f79-8374-59eef50bea63,2022-02-08,Central,Furniture,1666.56,706.15
5be6128e-18c2-4797-a142-ea7d17be3111,2021-08-17,South,Furniture,432.55,-67.55
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2021-10-09,West,Office Supplies,371.83,154.17
759cde66-bacf-43d0-8b1f-9163ce9ff57f,2023-01-11,Central,Technology,374.97,-481.7
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2021-11-23,West,Office Supplies,615.44,-490.96
4b0dbb41-8d52-48f1-942c-3fe860e7a113,2022-09-18,South,Furniture,1054.27,-187.84
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2021-07-22,West,Technology,869.57,-368.95
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,2022-12-09,South,Office Supplies,589.55,-161.73
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2021-11-17,Central,Office Supplies,1227.59,-269.84
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2021-10-08,Central,Furniture,287.59,-462.92
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2021-04-03,South,Furniture,591.37,682.1
7412b293-4729-4739-a14f-f3d719db3ad0,2021-10-01,West,Technology,739.06,-489.31
29a3b2e9-5d65-4441-9588-42dea2bc372f,2021-09-30,East,Furniture,917.58,456.91
ab9099a4-35a2-40ae-9af3-05535ec42e08,2023-09-27,East,Furniture,1572.5,-302.21
aefcfad8-efc8-4849-b3aa-7efe4458a885,2021-08-17,East,Office Supplies,407.35,685.9
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2023-01-19,Central,Furniture,1033.33,660.63
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2021-06-10,West,Office Supplies,1188.9,350.07
451b4cf3-6123-4df7-b656-af7229d4beef,2021-06-15,East,Furniture,102.44,373.9
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2021-04-27,Central,Office Supplies,1219.01,-493.06
5304317f-af42-412f-b838-b3268e944239,2022-12-24,West,Technology,349.34,780.33
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2022-07-31,East,Furniture,139.45,641.18
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2023-10-09,East,Technology,1898.28,663.64
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2023-02-01,South,Office Supplies,1931.61,357.02
9132b63e-f162-47e4-a9c3-49e03602f8ac,2022-10-24,East,Office Supplies,1618.71,-51.78
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2023-08-01,West,Technology,616.18,661.74
e27a984d-6548-41d0-bfcd-9eb1a7cad415,2021-07-07,Central,Technology,204.37,-121.03
24933b83-7577-40a9-a491-f0b2ea1fca65,2023-02-04,South,Furniture,1371.62,231.53
beb79919-3f22-4af8-a3be-d01d43cf2fde,2021-06-15,Central,Technology,885.9,-370.35
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,2022-10-20,East,Office Supplies,252.86,698.54
956269f0-e5d7-4875-adad-d6c795a76d79,2021-09-13,Central,Furniture,995.4,-317.0
ff50bde4-3825-47b8-9cab-cc97663f1c97,2021-03-30,West,Technology,78.43,-207.63
7e570ddf-8270-40a8-a369-b584ff5e9ff0,2022-04-03,South,Office Supplies,1819.55,225.57
dc713d96-0c0f-4195-817a-f08a1745d6d8,2021-09-02,East,Technology,524.97,493.32
28f49481-a0a0-4dc4-a720-9bdf1c11f735,2023-08-17,South,Office Supplies,1328.42,305.16
98ae4334-6c12-4ce8-ae34-0454cac5b68c,2023-04-24,West,Technology,630.31,-198.23
988c24c9-61b1-4d22-a280-1c4510435a10,2022-08-01,Central,Office Supplies,1044.94,-498.77
405cacec-8774-49a9-b7d2-1e02ff01cf99,2021-06-27,East,Technology,1097.95,484.3
f143262f-dc5c-4eed-8da0-365bf89897b9,2022-03-25,West,Furniture,377.86,780.77
1d53434b-b881-49b9-ae27-0da702f06b90,2022-02-21,South,Office Supplies,1939.47,552.89
c0398710-8976-4334-a281-7efdae849217,2023-05-09,Central,Furniture,1552.51,98.27
5715bd6f-a416-4293-84c2-e2e3444ea7c8,2022-09-20,East,Office Supplies,1879.6,674.9
287d06ca-6f4c-469a-8b22-d3081c8eaee9,2023-06-16,South,Office Supplies,1790.71,32.8
b8db0672-f42d-47cc-80d4-af5974273ca3,2023-05-10,East,Technology,1199.82,182.41
f8cda88b-436d-46e2-b83c-fe0be037e5ed,2021-12-28,West,Technology,1844.53,120.27
81f76d1c-2dbc-4134-830f-f46e8026695f,2021-02-20,Central,Furniture,186.1,81.91
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,2022-08-06,Central,Furniture,400.01,507.75
81f631d4-a392-41a7-9777-a4774c66e0a8,2021-09-30,South,Office Supplies,100.0,184.8
5fb8d16c-2720-497d-b2eb-d6899be578c7,2021-06-10,West,Office Supplies,657.41,-88.27
f4188f3f-8a14-4e62-a95b-4715c333e861,2022-10-22,East,Furniture,783.47,-164.39
eb2263dd-87c5-421e-ac24-a3c5c754108f,2023-06-18,East,Furniture,549.98,-450.93
7d154385-52fb-443b-9954-6eb400257ad1,2021-01-13,South,Office Supplies,1659.19,258.15
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,2021-11-19,East,Office Supplies,719.94,-201.05
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,2023-06-28,West,Office Supplies,569.06,-307.43
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2021-10-06,East,Furniture,1089.97,349.98
14296c07-f26b-4776-913e-4de2e0c53cb8,2021-10-18,Central,Technology,290.44,385.57
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,2021-02-15,West,Technology,1606.37,477.8
885f6e66-c2b6-42c5-ba5d-310011b7e948,2021-10-07,Central,Furniture,158.36,154.65
a8e56e0c-20de-435d-a031-d750c40db9b4,2022-10-04,West,Technology,1973.91,662.27
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,2023-06-03,West,Technology,1546.77,717.25
9b49bd26-df57-459a-8715-a10343dac043,2023-05-04,Central,Furniture,405.44,549.58
edcd465e-3638-4821-b6e0-7cc06c52c49f,2021-01-22,South,Furniture,20.99,326.27
b09b2a5c-badc-432a-8159-0f538a0f4efb,2021-05-29,East,Technology,1632.77,-105.16
66245bfa-4fcc-439a-b683-d2e6337ea2df,2022-02-18,South,Furniture,1416.65,777.83
5f987c71-a65e-488e-abf3-ad39fec21bbe,2021-10-14,East,Furniture,1460.72,-143.62
7394988f-847f-49b4-a64d-1bcb702753a1,2023-11-21,West,Office Supplies,1544.83,-236.55
1064005c-3985-43cf-bf76-be1d1efa2197,2022-09-10,Central,Furniture,157.35,74.8
8dcdcd03-969b-4662-8562-8059568cc69b,2022-02-22,West,Office Supplies,723.35,-426.11
01d74256-3860-4ab6-96a4-02f23ae8cc93,2023-02-09,Central,Furniture,240.58,772.04
0f1259e0-a18f-46b6-b535-106e122c9a56,2021-05-01,Central,Furniture,1727.58,264.96
080aadfb-e7c9-4b26-9141-25c63a9bedd4,2021-04-05,South,Technology,1250.36,224.04
839fbc50-1223-4513-9496-f63cdc1110c1,2022-10-19,East,Technology,668.49,352.54
7c441fe7-ab42-40a7-874a-493b3ceddf2d,2023-04-29,East,Office Supplies,136.48,146.13
b92da22b-21df-406f-8a0b-3c3336d8393a,2021-02-09,East,Furniture,628.85,-458.32
93829b43-922f-415a-a1e3-db63ef7ddc76,2021-04-21,South,Technology,657.11,296.0
7914c120-c8dc-419f-be35-11287900f7f9,2022-12-01,Central,Technology,1461.92,431.03
1825bc54-30be-445f-a835-14f2ceb81f9d,2022-12-23,Central,Technology,1278.74,41.77
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,2021-01-31,East,Furniture,1775.55,484.48
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,2021-12-02,East,Office Supplies,949.71,-204.9
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,2021-05-05,West,Furniture,247.99,-212.34
0f844fef-1931-49ee-a56c-0941fbf24050,2022-09-14,Central,Office Supplies,1429.36,-290.16
ccf3a171-56dc-4907-ba6c-34ab6712303a,2021-10-29,Central,Furniture,1523.96,-16.41
310c0c00-3fa7-4104-9bf9-0e27dc96925e,2022-11-24,South,Office Supplies,1126.94,601.12
23e2fcb4-72d8-467d-894a-05e430b187ef,2021-03-03,East,Technology,1544.22,576.29
766ecb15-474e-4c19-aef9-12766c006f61,2022-06-16,South,Technology,992.65,-2.33
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,2023-12-01,West,Furniture,1050.24,265.85
db20a56e-dc81-4fe7-8eda-8bbb71710434,2021-01-17,East,Technology,860.81,437.06
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,2021-02-21,West,Office Supplies,60.58,-186.43
03c72ba8-d605-4770-8a63-f881ffd0f9d5,2022-03-29,South,Furniture,224.7,-281.42
c0e9ab30-ed26-42e9-97e0-11b7f8102383,2023-06-26,Central,Office Supplies,72.54,763.72
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,2021-11-05,West,Furniture,1276.46,302.82
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,2021-11-21,East,Technology,635.57,775.84
2a25a888-0f02-4ad0-a706-7ef466aa9385,2021-10-14,East,Furniture,1022.06,-60.92
63f2ae24-fc3d-4348-808d-4127610461e3,2022-10-04,Central,Technology,1816.06,413.94
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,2022-12-14,South,Furniture,506.09,-210.62
b253d218-6c4a-47ea-8906-17f2747b6dba,2021-10-13,West,Furniture,826.66,-160.44
c88a618e-fed4-457d-bb02-6576f512c4c3,2022-01-30,West,Furniture,1513.55,165.47
7c967f79-b7e9-4aca-a970-65e18e46d534,2022-03-11,East,Furniture,465.31,-84.5
